codigo_municipio,nome_municipio,sigla_uf,nome_uf,lat,lng,nota_total,avg_nota_cn,avg_nota_ch,avg_nota_lc,avg_nota_mt,avg_nota_redacao,nu_ano
3113404,Caratinga,MG,Minas Gerais,-19.7868,-42.1292,543.3750153691994,495.6451348182884,524.7045989904655,509.392933258553,549.8245017584994,637.3079080201907,2021
3113404,Caratinga,MG,Minas Gerais,-19.7868,-42.1292,462.8039049002534,480.60883376191197,543.783058538799,503.34646322378717,471.5942097026604,314.68695927410846,2014
3113404,Caratinga,MG,Minas Gerais,-19.7868,-42.1292,549.2822291995054,497.5076490438695,531.276591154261,519.9628371089536,555.2260967379077,642.437971952535,2022
3113404,Caratinga,MG,Minas Gerais,-19.7868,-42.1292,557.0706633758448,504.3298319327731,536.6888496468214,524.4818869828456,556.9365021008404,662.9162462159435,2023
3113404,Caratinga,MG,Minas Gerais,-19.7868,-42.1292,522.3595273598768,477.0849080532657,507.1035649546828,519.8415105740181,528.275206087508,579.4924471299094,2019
3113404,Caratinga,MG,Minas Gerais,-19.7868,-42.1292,474.8017660125113,479.88488372093025,558.502934662237,500.49799432355724,472.00997161778616,363.11304573804574,2015
3113701,Carlos Chagas,MG,Minas Gerais,-17.6973,-40.7723,494.5175343680709,494.6308203991131,500.42382978723407,496.79063829787236,486.3168514412417,494.4255319148936,2017
3113701,Carlos Chagas,MG,Minas Gerais,-17.6973,-40.7723,528.1323701910143,477.9858757062147,512.8132275132275,506.9428571428571,529.1632768361582,613.7566137566138,2021
3113701,Carlos Chagas,MG,Minas Gerais,-17.6973,-40.7723,526.3310467385721,487.63878787878787,511.9587570621469,501.5920903954802,530.9175757575757,599.54802259887,2022
3113701,Carlos Chagas,MG,Minas Gerais,-17.6973,-40.7723,452.92784022483164,456.5801324503311,536.0726821192053,484.51428571428573,436.9073949579832,350.56470588235294,2015
3113701,Carlos Chagas,MG,Minas Gerais,-17.6973,-40.7723,496.22055058043117,457.10761904761904,490.9170149253731,506.9349253731343,498.0834920634921,528.0597014925373,2019
3113701,Carlos Chagas,MG,Minas Gerais,-17.6973,-40.7723,512.305756515295,474.66028037383177,499.05154185022025,520.6581497797357,513.15,554.0088105726873,2020
3113701,Carlos Chagas,MG,Minas Gerais,-17.6973,-40.7723,517.4068451683304,481.24311926605503,512.8691629955947,505.92422907488987,501.9756880733945,585.022026431718,2023
3113701,Carlos Chagas,MG,Minas Gerais,-17.6973,-40.7723,498.6191516777773,471.14918032786886,551.4363171355499,509.4450127877238,514.364480874317,446.7007672634271,2018
3113701,Carlos Chagas,MG,Minas Gerais,-17.6973,-40.7723,492.04413297311544,461.1246428571429,512.5308928571428,507.70627306273065,471.7739852398524,507.0848708487085,2016
3113701,Carlos Chagas,MG,Minas Gerais,-17.6973,-40.7723,450.53789436588505,464.462012012012,530.3720720720721,490.8496845425868,447.4293375394322,319.5763656633222,2014
3113800,Carmésia,MG,Minas Gerais,-19.0877,-43.1382,506.51020795660037,467.8,508.372619047619,488.85238095238094,506.09746835443036,561.4285714285714,2022
3113800,Carmésia,MG,Minas Gerais,-19.0877,-43.1382,506.52340725806454,462.72903225806454,483.953125,480.55625,520.0661290322581,585.3125,2021
